Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSOCUG00000021664	11	31023054	31023160
ENSOCUG00000038705	16	47318133	47343680
ENSOCUG00000027885	GL018802	342033	345500
ENSOCUG00000036739	14	160741797	160752469
ENSOCUG00000004346	6	15172306	15203795
ENSOCUG00000032313	14	160764867	160765226
ENSOCUG00000034677	17	12995484	13035310
ENSOCUG00000025838	14	5843985	5844308
ENSOCUG00000004799	16	60248033	60256762
ENSOCUG00000037479	6	8874142	8875233
ENSOCUG00000032314	16	47383217	47399772
ENSOCUG00000000698	14	5871625	5873350
ENSOCUG00000016815	10	30418460	30553181
ENSOCUG00000016782	6	8875273	8876832
ENSOCUG00000023120	19	37919276	37926485
ENSOCUG00000028772	14	44530122	44530244
ENSOCUG00000036812	6	8880500	8881636
ENSOCUG00000033468	6	8903150	8920714
ENSOCUG00000008528	19	42090007	42096465
ENSOCUG00000007317	10	3238801	3239742
ENSOCUG00000030823	7	113182299	113215886
ENSOCUG00000032450	10	3368737	3368931
ENSOCUG00000036283	19	42096034	42142771
ENSOCUG00000032281	19	42151608	42152240
ENSOCUG00000034361	7	20844213	20844380
ENSOCUG00000037842	19	42158070	42158687
ENSOCUG00000001850	15	62320159	62340149
ENSOCUG00000003161	1	150749252	150773945
ENSOCUG00000001352	18	45891746	45914680
ENSOCUG00000016259	15	49644147	49646977
ENSOCUG00000015578	X	50078086	50080139
ENSOCUG00000004865	X	87822355	87823494
ENSOCUG00000024698	1	115017675	115017962
ENSOCUG00000000197	2	111595446	111721018
ENSOCUG00000030224	19	44509169	44509351
ENSOCUG00000034678	X	87832078	87832974
ENSOCUG00000023170	8	34900796	34955931
ENSOCUG00000004621	6	8921129	8993067
ENSOCUG00000028120	X	87863517	87864878
ENSOCUG00000009762	16	26513984	26657984
ENSOCUG00000015893	4	18683747	18998075
ENSOCUG00000025081	GL018802	348850	374803
ENSOCUG00000031357	4	85360112	85411039
ENSOCUG00000028764	4	37902894	37902996
ENSOCUG00000015484	4	16499771	16517813
ENSOCUG00000007264	12	30905643	30909927
ENSOCUG00000015835	17	13050968	13276422
ENSOCUG00000006227	13	101498503	101593550
ENSOCUG00000037423	4	36498187	36499624
ENSOCUG00000033956	4	55079506	55111666
ENSOCUG00000039244	9	109872410	109873489
ENSOCUG00000016429	12	10666814	10668481
ENSOCUG00000000406	3	57384397	57492512
ENSOCUG00000013017	12	4729185	4827541
ENSOCUG00000012227	9	109997490	110100277
ENSOCUG00000004792	16	60265224	60290464
ENSOCUG00000034891	4	55130832	55138240
ENSOCUG00000007265	12	30913042	30929382
ENSOCUG00000001652	17	13262154	13306865
ENSOCUG00000011422	17	69328298	69383114
ENSOCUG00000033474	12	12732846	12733001
ENSOCUG00000000092	19	16386743	16396929
ENSOCUG00000008019	8	18327844	18333154
ENSOCUG00000016723	19	37988771	38022274
ENSOCUG00000016677	8	20225708	20291634
ENSOCUG00000027465	12	42745467	42796298
ENSOCUG00000034391	19	38025190	38025429
ENSOCUG00000024485	13	131622952	131670212
ENSOCUG00000008613	19	44511513	44516065
ENSOCUG00000006596	1	185055329	185056564
ENSOCUG00000000356	13	37480064	37486087
ENSOCUG00000004325	6	15384602	15430211
ENSOCUG00000000176	18	40826845	40834479
ENSOCUG00000038992	1	99723127	99749742
ENSOCUG00000013921	19	38040747	38041451
ENSOCUG00000036968	1	26285678	26287296
ENSOCUG00000000285	16	47402207	47447861
ENSOCUG00000016441	12	10695880	10701459
ENSOCUG00000036536	19	38050440	38051474
ENSOCUG00000016475	1	188785677	188787395
ENSOCUG00000000178	18	40838324	40842173
ENSOCUG00000026353	GL018802	377665	386854
ENSOCUG00000029945	2	146414666	146416607
ENSOCUG00000034068	13	142004958	142037609
ENSOCUG00000001995	12	12809212	12823061
ENSOCUG00000019662	12	10699943	10700046
ENSOCUG00000034569	12	13192495	13237341
ENSOCUG00000007635	19	38085300	38102065
ENSOCUG00000023883	13	142053164	142063676
ENSOCUG00000027083	6	9001464	9025973
ENSOCUG00000012476	13	121845428	121847423
ENSOCUG00000036542	19	38104497	38105612
ENSOCUG00000019028	13	121845656	121845725
ENSOCUG00000019737	13	121846104	121846173
ENSOCUG00000019804	13	121846897	121846999
ENSOCUG00000036757	13	121847588	121847667
ENSOCUG00000016406	12	10710437	10720017
ENSOCUG00000028467	12	89322124	89322221
ENSOCUG00000007209	19	38165448	38172761
ENSOCUG00000030497	12	30937179	30944346
ENSOCUG00000002877	11	62180687	62402878
ENSOCUG00000027900	11	31084961	31085893
ENSOCUG00000010522	4	55271845	55274362
ENSOCUG00000008304	14	44550057	44588535
ENSOCUG00000027231	GL018802	387586	396868
ENSOCUG00000016756	2	47479004	47669985
ENSOCUG00000017133	X	48984391	48994212
ENSOCUG00000010786	X	2659465	2659638
ENSOCUG00000030141	X	50134975	50139886
ENSOCUG00000023938	2	125097129	125097230
ENSOCUG00000000681	X	2666152	2724360
ENSOCUG00000030259	X	50156090	50158692
ENSOCUG00000017687	4	67493134	67575339
ENSOCUG00000028210	X	50199298	50203602
ENSOCUG00000028133	3	15855344	15858444
ENSOCUG00000009489	17	37759708	37853644
ENSOCUG00000035003	4	10173435	10174601
ENSOCUG00000001888	15	49913458	49915074
ENSOCUG00000006552	15	49916485	49967946
ENSOCUG00000022015	8	18470731	18492691
ENSOCUG00000037120	15	62328213	62330753
ENSOCUG00000009854	9	19768144	19810114
ENSOCUG00000001152	15	49977243	49993809
ENSOCUG00000011380	9	49848989	49870730
ENSOCUG00000008807	8	18514140	18575978
ENSOCUG00000016615	6	9138991	9221713
ENSOCUG00000014444	10	3387630	4300297
ENSOCUG00000008802	8	18579890	18586194
ENSOCUG00000027080	8	29059903	29068950
ENSOCUG00000024229	X	68489942	68491743
ENSOCUG00000026164	GL018802	407157	413258
ENSOCUG00000033732	10	15439377	15441335
ENSOCUG00000037067	X	68510394	68510866
ENSOCUG00000035600	10	15499505	15500775
ENSOCUG00000016269	10	15563064	15564078
ENSOCUG00000017131	7	20911358	20919552
ENSOCUG00000003502	X	50233819	50236288
ENSOCUG00000023324	X	106420442	106420547
ENSOCUG00000009782	17	75679988	75768084
ENSOCUG00000005740	6	9228917	9237205
ENSOCUG00000002965	19	38207483	38276515
ENSOCUG00000026967	16	37090882	37123203
ENSOCUG00000027957	13	1501857	2242716
ENSOCUG00000000179	6	9241661	9300855
ENSOCUG00000022824	19	6830914	6831240
ENSOCUG00000016347	19	38314744	38320113
ENSOCUG00000016339	19	38321499	38330710
ENSOCUG00000034059	13	8025696	8027366
ENSOCUG00000027695	11	31209662	31210591
ENSOCUG00000007424	X	10445312	10565173
ENSOCUG00000016331	19	38333548	38334065
ENSOCUG00000028193	13	121852949	121853071
ENSOCUG00000034597	11	31265543	31287591
ENSOCUG00000022442	17	7907918	7908172
ENSOCUG00000002553	9	59137437	59201529
ENSOCUG00000010527	4	55280077	55409307
ENSOCUG00000032576	11	31287612	31288547
ENSOCUG00000015977	GL018802	408887	417060
ENSOCUG00000027029	18	24055106	24234760
ENSOCUG00000039248	X	87887037	87894875
ENSOCUG00000038420	11	62543979	62546008
ENSOCUG00000006919	6	15452557	15492704
ENSOCUG00000003338	17	13315920	13390766
ENSOCUG00000017058	9	49905153	49947323
ENSOCUG00000026200	11	31341057	31341992
ENSOCUG00000000483	16	37165675	37210277
ENSOCUG00000024373	11	3390351	3390790
ENSOCUG00000004142	4	85428922	85487106
ENSOCUG00000035548	18	40908720	40919207
ENSOCUG00000023164	11	31423169	31424098
ENSOCUG00000024554	17	13378531	13378693
ENSOCUG00000021456	12	89720623	89721571
ENSOCUG00000003531	19	38363000	38387470
ENSOCUG00000034885	17	13391680	13414625
ENSOCUG00000033276	4	37910231	37911283
ENSOCUG00000011003	13	142973975	143036724
ENSOCUG00000030960	6	9512008	9552550
ENSOCUG00000038525	12	13373596	13446535
ENSOCUG00000001949	3	69240939	69285362
ENSOCUG00000001732	15	16940839	16968404
ENSOCUG00000020578	19	38376907	38377083
ENSOCUG00000037758	3	117649947	117657926
ENSOCUG00000008012	3	69407144	69408250
ENSOCUG00000017504	1	148774854	149014194
ENSOCUG00000039444	15	62339648	62339765
ENSOCUG00000024737	1	34077074	34077180
ENSOCUG00000004811	19	12909434	12922849
ENSOCUG00000003327	17	13453021	13531326
ENSOCUG00000004411	19	38409367	38449496
ENSOCUG00000001046	15	62360008	62369358
ENSOCUG00000010138	2	100247451	100326763
ENSOCUG00000004410	19	38476399	38481004
ENSOCUG00000006130	X	44087471	44100688
ENSOCUG00000002929	13	139122059	139133681
ENSOCUG00000010321	X	106517535	106530425
ENSOCUG00000024537	7	118479350	118494025
ENSOCUG00000039083	X	68525265	68527819
ENSOCUG00000021281	7	118531306	118531839
ENSOCUG00000006760	X	44109351	44129203
ENSOCUG00000013010	2	97008259	97059281
ENSOCUG00000001151	15	50001714	50057743
ENSOCUG00000009101	10	15721328	15849072
ENSOCUG00000031310	X	87896241	87898317
ENSOCUG00000029871	15	62381808	62413058
ENSOCUG00000039221	X	87896619	87897644
ENSOCUG00000010099	GL018802	418776	432902
ENSOCUG00000025683	X	87912679	87914175
ENSOCUG00000003034	4	81491571	81492558
ENSOCUG00000009156	19	38484862	38528643
ENSOCUG00000002057	14	78956898	78965323
ENSOCUG00000024108	X	44203048	44206036
ENSOCUG00000033194	1	122372422	122372955
ENSOCUG00000016584	8	20360437	20622195
ENSOCUG00000010313	14	91533832	91780333
ENSOCUG00000010629	X	87968206	87969555
ENSOCUG00000003155	18	13595218	13601355
ENSOCUG00000039193	1	99788774	99863521
ENSOCUG00000009159	19	38497781	38509503
ENSOCUG00000003816	17	50943618	51042797
ENSOCUG00000000312	17	6864519	6897217
ENSOCUG00000001247	13	10400298	10561396
ENSOCUG00000008997	17	75794315	75811002
ENSOCUG00000011071	8	29079218	29083704
ENSOCUG00000031689	7	112324124	112350011
ENSOCUG00000008787	8	18584870	18666372
ENSOCUG00000013911	10	36387054	36391132
ENSOCUG00000016225	19	38526418	38528887
ENSOCUG00000004855	6	9622923	9763408
ENSOCUG00000012015	17	7924174	8081390
ENSOCUG00000008797	8	18602402	18616712
ENSOCUG00000002299	16	47487764	47641665
ENSOCUG00000006171	17	13459801	13601741
ENSOCUG00000034556	16	47726393	47730593
ENSOCUG00000015402	17	75861432	75893754
ENSOCUG00000009453	19	39499511	39503634
ENSOCUG00000000310	17	6903529	6950160
ENSOCUG00000026500	17	6962435	6962550
ENSOCUG00000011554	1	48138494	48261204
ENSOCUG00000006925	6	15497658	15593399
ENSOCUG00000007306	17	6968179	7042956
ENSOCUG00000010701	1	15095782	15146910
ENSOCUG00000000091	19	16407028	16414499
ENSOCUG00000010092	GL018802	434398	452058
ENSOCUG00000015335	1	185178621	185183104
ENSOCUG00000009231	11	62592262	62764724
ENSOCUG00000012431	9	14928798	14980804
ENSOCUG00000023030	6	10158287	10158694
ENSOCUG00000033427	6	10216184	10216543
ENSOCUG00000036470	X	61737240	61738339
ENSOCUG00000017421	4	36508086	36751484
ENSOCUG00000009225	19	6943795	7050457
ENSOCUG00000035171	11	31435821	31437689
ENSOCUG00000027023	4	81497047	81497174
ENSOCUG00000037086	18	51563303	51564469
ENSOCUG00000025716	12	30944599	30945822
ENSOCUG00000009452	19	39503968	39510274
ENSOCUG00000007268	12	30949379	30957841
ENSOCUG00000038809	12	13535814	13537517
ENSOCUG00000025410	4	10183716	10308940
ENSOCUG00000010791	16	47743088	47758258
ENSOCUG00000016209	19	38558795	38584586
ENSOCUG00000025798	13	34606051	34606998
ENSOCUG00000026319	13	42670720	42670883
ENSOCUG00000023028	19	44523318	44533177
ENSOCUG00000038154	19	38602192	38602801
ENSOCUG00000016954	7	118537451	118752039
ENSOCUG00000002744	12	102034654	102374820
ENSOCUG00000021543	6	10448408	10448902
ENSOCUG00000006289	19	38610346	38650180
ENSOCUG00000016806	10	30586821	30676946
ENSOCUG00000028466	7	39261988	39262087
ENSOCUG00000001250	15	17113617	17196501
ENSOCUG00000012816	19	38666293	38668784
ENSOCUG00000035905	19	38698237	38718510
ENSOCUG00000032461	19	38717364	38735141
ENSOCUG00000018022	19	38730720	38730779
ENSOCUG00000027316	19	38736950	38743621
ENSOCUG00000031346	19	38744568	38745632
ENSOCUG00000029186	19	38745647	38749653
ENSOCUG00000016884	7	64985870	65067545
ENSOCUG00000038465	7	140688284	140709753
ENSOCUG00000037729	7	140789922	140800685
ENSOCUG00000032216	7	113235347	113237050
ENSOCUG00000015781	2	169708055	169736184
ENSOCUG00000032717	7	140882134	140887049
ENSOCUG00000003028	18	51755138	51803539
ENSOCUG00000032589	2	157618766	157652006
ENSOCUG00000002613	11	3706590	3812479
ENSOCUG00000012586	7	65113537	65128319
ENSOCUG00000002394	13	138015498	138036233
ENSOCUG00000034932	7	113423057	113439188
ENSOCUG00000006239	3	127784867	129081985
ENSOCUG00000000478	16	37238032	37248641
ENSOCUG00000004576	10	36408256	36514617
ENSOCUG00000015481	4	16519382	16532744
ENSOCUG00000033174	10	4380017	4381018
ENSOCUG00000000149	X	44255459	44329939
ENSOCUG00000033707	10	4386450	4389244
ENSOCUG00000000541	17	75949516	76199817
ENSOCUG00000035537	10	30646171	30646299
ENSOCUG00000016121	10	4421301	4421852
ENSOCUG00000030253	17	76044268	76045184
ENSOCUG00000022786	10	30749504	30749610
ENSOCUG00000000817	19	36767949	36855954
ENSOCUG00000022563	17	76221615	76222557
ENSOCUG00000021131	4	37954172	37960398
ENSOCUG00000006373	1	12563180	12740399
ENSOCUG00000010859	X	87973205	87985572
ENSOCUG00000017149	X	49007177	49064488
ENSOCUG00000027228	1	190626868	190633253
ENSOCUG00000025719	6	10693859	10753795
ENSOCUG00000005494	14	74237691	74281382
ENSOCUG00000016543	20	13052301	13193556
ENSOCUG00000035573	10	30782778	31002534
ENSOCUG00000036122	X	50259499	50263311
ENSOCUG00000038927	14	74355440	74355571
ENSOCUG00000019146	X	68525991	68526122
ENSOCUG00000011934	16	47751201	47870617
ENSOCUG00000007894	2	125181494	125208986
ENSOCUG00000029215	X	50323379	50327808
ENSOCUG00000006242	4	2156381	2157478
ENSOCUG00000028571	2	92673123	92673229
ENSOCUG00000010213	X	68542245	68557858
ENSOCUG00000033916	2	38638868	38639153
ENSOCUG00000010915	1	194101623	194134151
ENSOCUG00000017832	1	115173391	115311739
ENSOCUG00000000472	16	37248465	37317279
ENSOCUG00000016023	17	13624626	13779583
ENSOCUG00000027500	17	27524688	27545929
ENSOCUG00000011753	15	62506651	62519253
ENSOCUG00000034689	11	31481620	31483644
ENSOCUG00000032976	15	62524694	62525239
ENSOCUG00000030445	6	15594737	15597091
ENSOCUG00000003636	4	2164557	2233343
ENSOCUG00000006544	11	31494610	31497062
ENSOCUG00000021731	12	90501831	90502850
ENSOCUG00000006541	11	31536126	31550760
ENSOCUG00000012387	6	15608695	15665548
ENSOCUG00000004875	4	81607038	81638700
ENSOCUG00000015156	10	4886765	4893554
ENSOCUG00000001864	6	15689166	15717850
ENSOCUG00000012856	19	48796464	48800598
ENSOCUG00000015153	10	4912123	4978064
ENSOCUG00000034765	10	30994426	30995708
ENSOCUG00000020397	10	36550762	36550872
ENSOCUG00000014689	4	81676119	81750443
ENSOCUG00000034584	7	39279545	39280660
ENSOCUG00000005729	20	13193251	13447206
ENSOCUG00000009447	19	39513560	39523870
ENSOCUG00000022649	X	104073869	104080730
ENSOCUG00000004570	10	36551657	36587613
ENSOCUG00000008545	3	117671207	117762915
ENSOCUG00000000968	7	160621412	160627456
ENSOCUG00000015450	4	16542390	16661388
ENSOCUG00000025290	20	13199339	13211685
ENSOCUG00000029858	11	71766466	71767506
ENSOCUG00000030312	X	61783905	61784198
ENSOCUG00000009903	3	113152502	113153752
ENSOCUG00000000467	10	31002815	31006153
ENSOCUG00000033907	4	16785674	16786792
ENSOCUG00000032940	11	71769624	71770685
ENSOCUG00000012279	17	76330322	76483068
ENSOCUG00000023045	3	86876698	86876837
ENSOCUG00000028802	X	44369403	44369525
ENSOCUG00000021068	17	6972675	6972790
ENSOCUG00000023035	17	6982020	6982135
ENSOCUG00000014935	14	95277716	95496437
ENSOCUG00000028456	17	6986658	6986775
ENSOCUG00000021042	X	44383086	44405573
ENSOCUG00000015776	20	13253706	13289976
ENSOCUG00000026792	13	32560693	32600946
ENSOCUG00000000466	10	31026521	31061193
ENSOCUG00000001384	9	110140434	110364886
ENSOCUG00000027290	16	19172797	19174319
ENSOCUG00000001324	13	47887854	47903425
ENSOCUG00000004658	14	74371491	74497748
ENSOCUG00000032111	16	19174565	19176095
ENSOCUG00000035568	16	19289793	19291193
ENSOCUG00000038515	14	74518503	74542977
ENSOCUG00000003924	4	85496380	85502028
ENSOCUG00000014735	6	15727348	15744897
ENSOCUG00000005737	20	13317915	13356729
ENSOCUG00000027532	12	21766446	21769091
ENSOCUG00000022835	9	59211468	59211602
ENSOCUG00000032604	20	13487687	13492242
ENSOCUG00000010631	14	74575611	74673566
ENSOCUG00000010088	GL018802	453447	493678
ENSOCUG00000010216	6	10757177	10808463
ENSOCUG00000005044	1	75200	85748
ENSOCUG00000033082	6	15744918	15796131
ENSOCUG00000022621	17	40874548	40884027
ENSOCUG00000033918	6	16233841	16234147
ENSOCUG00000039209	1	188799302	188813872
ENSOCUG00000015546	20	13497997	13638070
ENSOCUG00000024925	19	12926496	12927116
ENSOCUG00000036081	20	13733294	13734355
ENSOCUG00000027233	19	12931246	12931611
ENSOCUG00000005713	20	13764860	13791755
ENSOCUG00000025197	19	13092876	13092996
ENSOCUG00000034591	19	13342298	13364607
ENSOCUG00000028936	20	13778145	13778278
ENSOCUG00000037931	19	13375726	13377905
ENSOCUG00000033265	15	50176043	50192203
ENSOCUG00000013331	X	61956423	61957025
ENSOCUG00000022074	15	62567533	62571040
ENSOCUG00000003257	2	146507874	146548252
ENSOCUG00000031865	20	13795954	13802913
ENSOCUG00000009110	10	15882829	15902361
ENSOCUG00000036454	2	157629224	157652743
ENSOCUG00000028745	10	36553931	36554011
ENSOCUG00000013288	15	50209672	50271910
ENSOCUG00000017772	6	16585178	16585987
ENSOCUG00000010636	X	104171969	104226751
ENSOCUG00000004559	10	36603305	36618095
ENSOCUG00000013345	4	38001598	38037397
ENSOCUG00000029415	6	16638811	16640906
ENSOCUG00000036276	X	62030713	62068782
ENSOCUG00000034457	X	62124449	62177174
ENSOCUG00000035430	6	17221650	17224545
ENSOCUG00000039235	6	17365878	17400702
ENSOCUG00000010595	2	12336514	12337256
ENSOCUG00000036133	X	62194103	62194218
ENSOCUG00000037814	6	17388707	17393744
ENSOCUG00000032896	14	5894392	5895503
ENSOCUG00000025479	2	38714335	38714498
ENSOCUG00000030854	X	62487744	62534747
ENSOCUG00000011388	12	42805790	42847640
ENSOCUG00000018345	2	38778529	38778667
ENSOCUG00000007930	13	31095033	31311165
ENSOCUG00000033640	14	160764915	160782514
ENSOCUG00000020402	2	113710010	113710181
ENSOCUG00000004005	1	194802505	194804152
ENSOCUG00000022257	12	90642965	90643309
ENSOCUG00000021094	13	42672260	42672423
ENSOCUG00000036507	12	13595261	13595395
ENSOCUG00000003358	17	76553568	76585545
ENSOCUG00000035569	12	13692898	13779877
ENSOCUG00000030444	1	58226703	58227779
ENSOCUG00000010316	17	76594940	76617538
ENSOCUG00000038634	17	13761215	13761296
ENSOCUG00000019380	12	90670556	90670680
ENSOCUG00000039315	13	80843754	80844839
ENSOCUG00000030848	12	13929570	13960967
ENSOCUG00000015489	17	20017991	20033130
ENSOCUG00000008757	18	41024983	41185012
ENSOCUG00000021020	6	17405712	17415906
ENSOCUG00000007830	11	71807250	71879530
ENSOCUG00000005701	20	13812520	13853335
ENSOCUG00000011397	12	30976873	30999518
ENSOCUG00000032121	6	17441085	17444530
ENSOCUG00000003426	19	13382470	13411854
ENSOCUG00000035007	13	120988583	120989518
ENSOCUG00000018396	12	91602182	91602331
ENSOCUG00000029915	11	31564977	31567196
ENSOCUG00000012651	3	69855130	69856276
ENSOCUG00000037040	3	69856391	69856762
ENSOCUG00000000239	16	72677083	72696733
ENSOCUG00000025788	16	26686030	26686600
ENSOCUG00000037159	11	31594987	31665346
ENSOCUG00000001500	6	17441765	17484233
ENSOCUG00000008683	17	27553660	27585711
ENSOCUG00000036503	6	17498176	17500911
ENSOCUG00000017216	4	48649258	48650097
ENSOCUG00000001586	12	32545441	32550746
ENSOCUG00000005685	20	13863446	13939810
ENSOCUG00000013140	13	142067607	142902890
ENSOCUG00000037792	14	123055735	123056844
ENSOCUG00000000329	6	17532824	17561062
ENSOCUG00000013175	20	13959823	14038823
ENSOCUG00000029067	14	160783747	160784055
ENSOCUG00000022210	14	140544680	140544780
ENSOCUG00000037929	20	25216736	25218997
ENSOCUG00000026465	11	31683820	31726201
ENSOCUG00000013712	14	5938480	6014796
ENSOCUG00000030499	20	3007666	3024901
ENSOCUG00000039452	20	3007666	3010324
ENSOCUG00000011161	7	39352393	39396530
ENSOCUG00000001647	17	13811866	13971802
ENSOCUG00000038741	18	51845676	51846851
ENSOCUG00000002053	14	78985447	79005114
ENSOCUG00000031900	6	17592681	17615929
ENSOCUG00000037180	14	160816662	160816868
ENSOCUG00000009279	1	8153228	8440613
ENSOCUG00000001052	17	76638392	76719024
ENSOCUG00000005020	17	40903365	40910944
ENSOCUG00000013224	GL018802	539330	566536
ENSOCUG00000031433	X	62844718	62844894
ENSOCUG00000029717	17	76733182	76740878
ENSOCUG00000006131	15	62661195	62836268
ENSOCUG00000031706	3	113281941	113284400
ENSOCUG00000021705	X	62859685	62904096
ENSOCUG00000036861	X	44424515	44424575
ENSOCUG00000001388	12	91803931	91804200
ENSOCUG00000014912	1	122375716	122377685
ENSOCUG00000033751	12	14000152	14050518
ENSOCUG00000023590	15	73518399	73520676
ENSOCUG00000032015	1	99872371	100252496
ENSOCUG00000009690	7	126263384	126263812
ENSOCUG00000007839	11	71908586	71943040
ENSOCUG00000031243	15	17152093	17152960
ENSOCUG00000010855	X	87988929	87991674
ENSOCUG00000010096	19	7536765	7658319
ENSOCUG00000003035	18	51855949	51941048
ENSOCUG00000024625	X	44537362	44537426
ENSOCUG00000036919	19	36944088	36945425
ENSOCUG00000015692	6	17629231	17700883
ENSOCUG00000036344	11	31777149	31778303
ENSOCUG00000032360	X	62903202	62903615
ENSOCUG00000022521	11	31807501	31808373
ENSOCUG00000027926	11	31859700	31860647
ENSOCUG00000003233	11	31930684	31942822
ENSOCUG00000006634	16	19356800	19571629
ENSOCUG00000010706	2	157652764	157670036
ENSOCUG00000034488	17	56370613	56372139
ENSOCUG00000022991	16	72712516	72713235
ENSOCUG00000015032	7	112425501	112749070
ENSOCUG00000009833	4	16803461	17334494
ENSOCUG00000002462	1	34121351	34381731
ENSOCUG00000017666	1	26309584	26438157
ENSOCUG00000003709	13	38083833	38091676
ENSOCUG00000027371	13	121857643	121878734
ENSOCUG00000036667	13	80915013	80917232
ENSOCUG00000001349	4	85557357	85902236
ENSOCUG00000009796	17	14199208	14241340
ENSOCUG00000017610	18	62394570	62419384
ENSOCUG00000020911	7	112571757	112572602
ENSOCUG00000037955	7	112750029	112773581
ENSOCUG00000007350	17	76741328	76742935
ENSOCUG00000019771	18	13632108	13632240
ENSOCUG00000038110	14	141140510	141141002
ENSOCUG00000021995	X	10568468	10568785
ENSOCUG00000001164	13	130126460	130191500
ENSOCUG00000014979	X	106652407	106787009
ENSOCUG00000003939	3	109537376	109543831
ENSOCUG00000002771	19	36946703	36947743
ENSOCUG00000037430	14	160871674	160879971
ENSOCUG00000028970	4	6655907	6656050
ENSOCUG00000006626	20	3025687	3098159
ENSOCUG00000038974	13	124348334	124349830
ENSOCUG00000018780	X	2680577	2680683
ENSOCUG00000033460	13	124348476	124349555
ENSOCUG00000011599	8	35013494	35648839
ENSOCUG00000000020	9	59222988	59387265
ENSOCUG00000015053	7	112786442	112951027
ENSOCUG00000012454	15	73629183	73657835
ENSOCUG00000017956	6	10811207	10899739
ENSOCUG00000026028	1	141791147	141791617
ENSOCUG00000030476	18	13637096	13637308
ENSOCUG00000011028	17	43569196	43571703
ENSOCUG00000009113	10	15934034	16473294
ENSOCUG00000013204	GL018802	583830	666290
ENSOCUG00000007680	14	83035105	83037663
ENSOCUG00000018779	10	5214340	5214450
ENSOCUG00000014899	1	122380603	122462103
ENSOCUG00000000391	19	36963818	36968092
ENSOCUG00000002630	11	3881315	3959066
ENSOCUG00000003237	11	31962655	31973592
ENSOCUG00000025433	1	185198656	185221193
ENSOCUG00000012578	18	13641701	13697696
ENSOCUG00000028982	1	100017279	100017413
ENSOCUG00000011774	2	6100427	6192527
ENSOCUG00000003618	10	5301434	5383462
ENSOCUG00000030157	7	73160549	73161599
ENSOCUG00000032873	4	18892268	18894211
ENSOCUG00000004549	10	36634693	36654515
ENSOCUG00000033347	10	5401568	5441645
ENSOCUG00000034111	10	5406589	5426125
ENSOCUG00000016566	6	17701165	17885589
ENSOCUG00000000090	19	16415348	16433137
ENSOCUG00000018943	6	17733199	17733304
ENSOCUG00000021880	6	17898458	18074468
ENSOCUG00000016942	17	14307858	14432863
ENSOCUG00000038765	12	14461529	14462698
ENSOCUG00000015222	13	911097	985207
ENSOCUG00000031171	12	92001259	92042129
ENSOCUG00000011593	8	35723746	35778983
ENSOCUG00000035510	6	18088508	18089608
ENSOCUG00000030798	12	14463859	14524681
ENSOCUG00000034694	12	92437686	92579363
ENSOCUG00000029373	X	50400519	50404737
ENSOCUG00000029152	12	31028806	31030057
ENSOCUG00000034439	12	14585709	14589516
ENSOCUG00000024116	12	31066309	31066413
ENSOCUG00000032449	4	55693148	55694200
ENSOCUG00000023452	3	96457910	96458320
ENSOCUG00000022347	13	55564569	55580806
ENSOCUG00000022220	13	34615941	34623547
ENSOCUG00000028124	4	55698757	55700386
ENSOCUG00000037996	9	5438395	5440818
ENSOCUG00000007143	8	35799951	35819158
ENSOCUG00000033565	15	73924646	73925398
ENSOCUG00000020921	8	35857452	35865462
ENSOCUG00000015057	1	192106880	192109033
ENSOCUG00000033251	6	18111990	18115814
ENSOCUG00000014339	4	6660276	6712103
ENSOCUG00000013794	1	15151885	15175269
ENSOCUG00000005919	18	24370261	24471768
ENSOCUG00000004418	1	185637811	185673513
ENSOCUG00000038513	6	18134930	18135707
ENSOCUG00000012907	19	39560232	39570319
ENSOCUG00000026016	4	48667550	48667738
ENSOCUG00000028132	1	192138737	192139699
ENSOCUG00000011647	13	124377116	124503334
ENSOCUG00000036378	1	53536798	53537022
ENSOCUG00000030566	6	18139706	18144385
ENSOCUG00000012040	14	160985581	160986075
ENSOCUG00000033107	8	35878889	35902698
ENSOCUG00000037160	6	18176032	18178991
ENSOCUG00000026241	8	35882344	35882416
ENSOCUG00000009456	18	62488357	62541432
ENSOCUG00000002703	8	29084906	29098945
ENSOCUG00000033552	1	188825399	188837861
ENSOCUG00000002158	7	8794797	8812601
ENSOCUG00000022219	4	48691347	48736449
ENSOCUG00000030744	14	161146103	161183087
ENSOCUG00000032986	14	161147056	161147313
ENSOCUG00000007878	8	29107826	29112018
ENSOCUG00000038903	7	93542045	93543052
ENSOCUG00000001484	12	62877182	63017667
ENSOCUG00000038375	4	18998611	19096803
ENSOCUG00000008211	8	29113582	29161548
ENSOCUG00000027492	6	18180105	18209093
ENSOCUG00000030454	8	5955743	5955952
ENSOCUG00000003049	18	51948282	51989350
ENSOCUG00000012883	6	18242980	18244423
ENSOCUG00000017363	13	121036836	121096734
ENSOCUG00000003198	17	56940058	57239604
ENSOCUG00000012977	1	104450633	104456800
ENSOCUG00000002197	10	5539920	5626037
ENSOCUG00000004172	X	44541970	44569207
ENSOCUG00000010921	GL018802	677166	701135
ENSOCUG00000000909	12	92826211	92898211
ENSOCUG00000011549	7	140942067	141115915
ENSOCUG00000002882	1	108423864	108446812
